dokumen,label
"Saya suka makan nasi goreng. Ayam goreng adalah makanan favorit saya. Kadang-kadang saya juga suka makan mi goreng. Tapi, lebih sering saya makan nasi goreng. Saya suka rasa pedasnya.",saya
Hari ini cuaca sangat panas. Saya merasa gerah di luar rumah. Saya lebih suka berada di dalam ruangan ber-AC. Di luar sangat terik. Ayo kita minum es teh.,saya
Anjing saya sangat lucu. Dia suka bermain di halaman rumah. Anjing saya berwarna hitam dan putih. Saya suka berjalan-jalan dengannya. Dia juga suka berlari-lari di sekitar halaman.,saya
Belajar bahasa Indonesia itu menyenangkan. Saya belajar kosakata baru setiap hari. Saya juga belajar tata bahasa. Saya ingin bisa berbicara bahasa Indonesia lancar. Ayo kita terus belajar!,saya
Saya sangat suka musik. Saya sering mendengarkan lagu-lagu favorit saya. Kadang-kadang saya juga bermain gitar. Musik adalah bagian penting dalam hidup saya. Saya bahagia bisa mendengarkannya.,saya
Hewan peliharaan saya adalah kucing. Kucing saya sangat manja. Dia suka tidur di atas sofa. Kadang-kadang dia suka meminta perhatian. Saya sayang sekali dengan kucing saya.,saya
"Sekolah saya memiliki banyak kegiatan ekstrakurikuler. Saya bergabung dengan klub sepak bola. Selain itu, saya juga mengikuti klub musik. Saya senang bisa berpartisipasi dalam berbagai kegiatan.",saya
Liburan musim panas adalah waktu favorit saya. Saya suka pergi ke pantai. Berenang di laut sangat menyegarkan. Saya juga suka berjemur di bawah sinar matahari. Liburan adalah waktu yang menyenangkan.,saya
"Saya sangat senang belanja. Saya suka mengunjungi pusat perbelanjaan. Kadang-kadang saya beli pakaian, kadang-kadang saya beli aksesoris. Belanja adalah salah satu hobi saya.",saya
"Saya adalah seorang pembaca yang rajin. Saya sering membaca buku di waktu luang. Saya suka membaca berbagai genre, mulai dari fiksi hingga nonfiksi. Buku adalah teman setia saya.",saya
Saya suka menonton film di bioskop. Menonton film di layar besar membuat pengalaman lebih seru. Saya sering pergi ke bioskop bersama teman-teman. Film adalah hiburan favorit saya.,saya
Sayuran adalah bagian penting dari pola makan saya. Saya suka makan sayur setiap hari. Sayuran segar memberikan banyak nutrisi bagi tubuh. Saya merasa lebih sehat setelah rajin makan sayur.,saya
Saya senang berkemah di alam. Berkemah memberikan pengalaman yang menyenangkan. Saya suka duduk di sekitar api unggun sambil bercerita. Alam memberikan ketenangan yang tidak bisa didapatkan di kota.,saya
Saya seorang penggemar olahraga. Saya suka berolahraga di gym. Saya juga suka berlari di pagi hari. Olahraga membuat tubuh saya tetap bugar dan sehat.,saya
Saya ingin menjadi penulis terkenal suatu hari nanti. Saya suka menulis cerita pendek. Saya juga sedang menulis novel. Menulis adalah passion saya.,saya
"Saya memiliki banyak teman di sekolah. Kami sering menghabiskan waktu bersama. Kadang-kadang kami pergi ke bioskop, kadang-kadang kami bermain game bersama di rumah.",saya
Saya suka berkebun di halaman belakang rumah. Menanam tanaman membuat saya merasa dekat dengan alam. Saya suka melihat tanaman-tanaman saya tumbuh. Berkebun adalah hobi yang menyenangkan.,saya
Saya senang mengunjungi tempat-tempat bersejarah. Saya suka belajar tentang sejarah. Melihat langsung tempat-tempat bersejarah memberikan pengalaman yang berbeda. Saya sering mengambil foto di sana.,saya
Saya adalah pecinta hewan. Saya suka mengunjungi kebun binatang. Melihat berbagai jenis hewan membuat saya bahagia. Saya ingin berkontribusi dalam pelestarian satwa liar.,saya
Saya seorang pecinta kopi. Saya suka mencoba berbagai jenis kopi dari berbagai daerah. Kopi adalah minuman yang bisa menyegarkan dan menghangatkan. Saya sering berkumpul dengan teman-teman di kedai kopi.Saya suka membaca berita di pagi hari. Informasi terbaru sangat penting bagi saya. Saya ingin selalu update dengan berita terkini. Membaca berita membuat saya lebih mengerti tentang dunia.,saya
Pendidikan adalah kunci kesuksesan. Saya selalu berusaha untuk belajar dengan tekun. Saya ingin meraih cita-cita saya melalui pendidikan yang baik. Saya yakin pendidikan akan membawa perubahan dalam hidup saya.,saya
Saya senang berwisata ke alam. Menikmati keindahan alam membuat saya merasa bahagia. Saya suka mendaki gunung dan menikmati pemandangan di puncak. Alam memberikan ketenangan dan keindahan yang luar biasa.,saya
Saya suka mengikuti kegiatan sosial. Membantu sesama membuat saya merasa berarti. Saya aktif dalam berbagai kegiatan amal dan sosial. Saya ingin berbagi kebahagiaan dengan orang lain.,saya
